XDUT.I0.I19\|XA20\|CK_B (subrange from 3.2e-07 to 3.5e-07) X,XDUT.I0.I19\|XA20\|CK_B (subrange from 3.2e-07 to 3.5e-07) Y,XDUT.I0.I19\|CP\(13\) (subrange from 3.2e-07 to 3.5e-07) X,XDUT.I0.I19\|CP\(13\) (subrange from 3.2e-07 to 3.5e-07) Y,XDUT.I0.I19\|XA0\|CE1_N (subrange from 3.2e-07 to 3.5e-07) X,XDUT.I0.I19\|XA0\|CE1_N (subrange from 3.2e-07 to 3.5e-07) Y
3.175189446373019e-07,1.850891294452595e-06,3.175189446373019e-07,0.7101296782493591,3.175189446373019e-07,3.420984057811438e-06
3.202135453135391e-07,1.889305622171378e-06,3.202135453135391e-07,0.7101153135299683,3.202135453135391e-07,3.420862185521401e-06
3.226e-07,1.912356083266786e-06,3.226e-07,0.710103452205658,3.226e-07,3.420959046707139e-06
3.2260625e-07,1.931058477566694e-06,3.2260625e-07,0.710103452205658,3.2260625e-07,3.420938355702674e-06
3.226175109392189e-07,1.916025439641089e-06,3.226175109392189e-07,0.7101033926010132,3.226175109392189e-07,3.407638132557622e-06
3.226231414088283e-07,1.941906702995766e-06,3.226231414088283e-07,0.7101033329963684,3.226231414088283e-07,3.440198952375795e-06
3.226314516865924e-07,1.943771849255427e-06,3.226314516865924e-07,0.7101033329963684,3.226314516865924e-07,3.432086941757007e-06
3.226383200914598e-07,1.946124939422589e-06,3.226383200914598e-07,0.7101033329963684,3.226383200914598e-07,3.425329850870185e-06
3.226446466345159e-07,1.954072104126681e-06,3.226446466345159e-07,0.7101032733917236,3.226446466345159e-07,3.427963520152844e-06
3.22650239394815e-07,1.968921196748852e-06,3.22650239394815e-07,0.7101032733917236,3.22650239394815e-07,3.431960976740811e-06
3.2265452705512e-07,1.991836825254722e-06,3.2265452705512e-07,0.7101032733917236,3.2265452705512e-07,3.435963662923314e-06
3.226610600889595e-07,2.02867317966593e-06,3.226610600889595e-07,0.7101033329963684,3.226610600889595e-07,3.454987336226623e-06
3.226667616689009e-07,2.11441988540173e-06,3.226667616689009e-07,0.7101033926010132,3.226667616689009e-07,3.496786121104378e-06
3.226738812067251e-07,2.111115463776514e-06,3.226738812067251e-07,0.7101032733917236,3.226738812067251e-07,3.418076630623545e-06
3.22678177481288e-07,1.466659227844502e-06,3.22678177481288e-07,0.7101029753684998,3.22678177481288e-07,2.630280960147502e-06
3.22681585940064e-07,5.002862053515855e-07,3.22681585940064e-07,0.7101027369499207,3.22681585940064e-07,1.62586843543977e-06
3.226842025912e-07,5.310103006195277e-07,3.226842025912e-07,0.7101027369499207,3.226842025912e-07,2.533065071474994e-06
3.22686026682946e-07,2.985931587318191e-06,3.22686026682946e-07,0.7101029753684998,3.22686026682946e-07,7.647549864486791e-06
3.226877656172634e-07,7.666313649679068e-06,3.226877656172634e-07,0.7101038098335266,3.226877656172634e-07,1.64337943715509e-05
3.22689228507567e-07,1.615779183339328e-05,3.22689228507567e-07,0.7101051807403564,3.22689228507567e-07,3.086278957198374e-05
3.226902700422658e-07,2.627580943226349e-05,3.226902700422658e-07,0.7101064920425415,3.226902700422658e-07,4.57573332823813e-05
3.22691549077188e-07,3.422403096919879e-05,3.22691549077188e-07,0.7101083397865295,3.22691549077188e-07,5.574811075348407e-05
3.226929442636943e-07,4.29339925176464e-05,3.226929442636943e-07,0.7101101875305176,3.226929442636943e-07,6.408194894902408e-05
3.226942465014138e-07,4.798257214133628e-05,3.226942465014138e-07,0.7101112604141235,3.226942465014138e-07,6.324443529592827e-05
3.22695761907217e-07,4.243537841830403e-05,3.22695761907217e-07,0.7101102471351624,3.22695761907217e-07,4.20937649323605e-05
3.226977601460885e-07,9.50417324929731e-06,3.226977601460885e-07,0.7101015448570251,3.226977601460885e-07,-3.150927295791917e-05
3.227e-07,-9.948680963134393e-05,3.227e-07,0.7100785374641418,3.227e-07,-0.0002343698724871501
