XDUT.I0.I19\|XA0\|CE1_N (subrange from 4.6e-06 to 4.74e-06) X,XDUT.I0.I19\|XA0\|CE1_N (subrange from 4.6e-06 to 4.74e-06) Y,XDUT.I0.I19\|CN\(12\) (subrange from 4.6e-06 to 4.74e-06) X,XDUT.I0.I19\|CN\(12\) (subrange from 4.6e-06 to 4.74e-06) Y,XDUT.I0.I19\|XA20\|CK_B (subrange from 4.6e-06 to 4.74e-06) X,XDUT.I0.I19\|XA20\|CK_B (subrange from 4.6e-06 to 4.74e-06) Y
4.589515641023545e-06,-3.56483496943838e-06,4.589515641023545e-06,0.4899949133396149,4.589515641023545e-06,3.622131089286995e-06
4.6005742973929e-06,-3.564837697922485e-06,4.6005742973929e-06,0.4899937808513641,4.6005742973929e-06,3.621171117629274e-06
4.612612313787083e-06,-3.564843837011722e-06,4.612612313787083e-06,0.4899925589561462,4.612612313787083e-06,3.619245717345621e-06
4.623856156893542e-06,-3.564850658221985e-06,4.623856156893542e-06,0.4899913966655731,4.623856156893542e-06,3.61724482900172e-06
4.6351e-06,-3.564857479432249e-06,4.6351e-06,0.489990234375,4.6351e-06,3.615248942878679e-06
4.635106249999999e-06,-3.564864528016187e-06,4.635106249999999e-06,0.489990234375,4.635106249999999e-06,3.61336674359336e-06
4.635117510939218e-06,-3.599876208681962e-06,4.635117510939218e-06,0.489990234375,4.635117510939218e-06,3.58464694727445e-06
4.635123141408827e-06,-3.535120413289405e-06,4.635123141408827e-06,0.489990234375,4.635123141408827e-06,3.618875780375674e-06
4.635132933905673e-06,-3.530788262651186e-06,4.635132933905673e-06,0.489990234375,4.635132933905673e-06,3.631353592936648e-06
4.635141030784298e-06,-3.533918061293662e-06,4.635141030784298e-06,0.4899902641773224,4.635141030784298e-06,3.650297458079876e-06
4.635143274311269e-06,-3.526156660882407e-06,4.635143274311269e-06,0.4899902641773224,4.635143274311269e-06,3.679567498693359e-06
4.635147761365212e-06,-3.513262527121697e-06,4.635147761365212e-06,0.4899902641773224,4.635147761365212e-06,3.695830400829436e-06
4.635152631309762e-06,-3.504923142827465e-06,4.635152631309762e-06,0.4899902939796448,4.635152631309762e-06,3.729665650098468e-06
4.63516160542419e-06,-3.486836249066982e-06,4.63516160542419e-06,0.4899903535842896,4.63516160542419e-06,3.78735762751603e-06
4.635168168389126e-06,-3.341090859976248e-06,4.635168168389126e-06,0.4899903833866119,4.635168168389126e-06,4.020465439680265e-06
4.635176339644054e-06,-3.585003469197545e-06,4.635176339644054e-06,0.4899902045726776,4.635176339644054e-06,4.016844741272507e-06
4.635181064997231e-06,-6.447878149629105e-06,4.635181064997231e-06,0.4899900257587433,4.635181064997231e-06,2.199839400418568e-06
4.635184224729433e-06,-7.257920060510514e-06,4.635184224729433e-06,0.4899901151657104,4.635184224729433e-06,1.024878542921215e-06
4.635186707801215e-06,2.200454900957993e-06,4.635186707801215e-06,0.4899908006191254,4.635186707801215e-06,4.559635272016749e-06
4.635187266792572e-06,2.791578481264878e-05,4.635187266792572e-06,0.4899910688400269,4.635187266792572e-06,1.589024032000452e-05
4.635188384775288e-06,3.686115815071389e-05,4.635188384775288e-06,0.4899918437004089,4.635188384775288e-06,1.996935134229716e-05
4.63518970224618e-06,5.908304956392385e-05,4.63518970224618e-06,0.489993155002594,4.63518970224618e-06,3.060276503674686e-05
4.635191326352742e-06,8.991445793071762e-05,4.635191326352742e-06,0.4899951219558716,4.635191326352742e-06,4.655188968172297e-05
4.635192819185858e-06,0.0001267849438590929,4.635192819185858e-06,0.4899968504905701,4.635192819185858e-06,6.788846803829074e-05
4.635194541595747e-06,0.0001476957404520363,4.635194541595747e-06,0.4899975955486298,4.635194541595747e-06,8.380354120163247e-05
4.635196491720446e-06,0.0001171137628261931,4.635196491720446e-06,0.4899937808513641,4.635196491720446e-06,8.030035678530112e-05
